defect_id,asset_id,section_id,defect_type,asset_type,initial_severity_grade,severity_grade,detected_date,resolved_date,status,escalated_to_critical_within_30d,escalation_date,future_event_desc,duration_hours,is_monsoon_detected
DEF_00057,SIG_SEC_06_3,SEC_06,Point_Machine_Wear,Signal,1,1,2024-02-16 00:00:00,2024-02-21 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-17),7.53,0
DEF_00058,SIG_SEC_17_2,SEC_17,Point_Machine_Wear,Signal,1,1,2024-02-17 00:00:00,2024-02-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-18),3.25,0
DEF_00059,OHE_SEC_14_2,SEC_14,Contact_Wire_Thinning,OHE,2,2,2024-02-19 00:00:00,2024-02-22 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-20),2.42,0
DEF_00060,TRA_SEC_03_2,SEC_03,Sleeper_Fastening_Defect,Track,2,2,2024-02-19 00:00:00,2024-02-21 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-20),8.1,0
DEF_00061,SIG_SEC_10_4,SEC_10,Point_Machine_Wear,Signal,1,1,2024-02-20 00:00:00,2024-02-23 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-21),4.35,0
DEF_00062,SIG_SEC_13_2,SEC_13,Track_Circuit_Glitch,Signal,3,4,2024-02-20 00:00:00,2024-02-21 00:00:00,RESOLVED,1,2024-02-29 00:00:00,Escalated to Grade 4 on 2024-02-29 (+9 days),11.79,0
DEF_00063,SIG_SEC_07_2,SEC_07,Point_Machine_Wear,Signal,3,3,2024-02-23 00:00:00,2024-02-24 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-24),19.43,0
DEF_00064,SIG_SEC_08_4,SEC_08,Point_Machine_Wear,Signal,1,1,2024-02-24 00:00:00,2024-02-27 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-25),2.84,0
DEF_00065,SIG_SEC_06_3,SEC_06,Point_Machine_Wear,Signal,1,1,2024-02-24 00:00:00,2024-02-26 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-25),5.66,0
DEF_00066,OHE_SEC_15_2,SEC_15,Contact_Wire_Thinning,OHE,1,4,2024-02-25 00:00:00,2024-02-27 00:00:00,RESOLVED,1,2024-03-22 00:00:00,Escalated to Grade 4 on 2024-03-22 (+26 days),4.85,0
DEF_00067,SIG_SEC_16_2,SEC_16,Track_Circuit_Glitch,Signal,1,1,2024-02-25 00:00:00,2024-02-26 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-26),2.01,0
DEF_00068,SIG_SEC_05_3,SEC_05,Point_Machine_Wear,Signal,1,1,2024-02-27 00:00:00,2024-02-29 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-28),9.27,0
DEF_00069,SIG_SEC_06_1,SEC_06,Signal_Interlocking_Failure,Signal,1,1,2024-02-27 00:00:00,2024-02-29 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-28),6.49,0
DEF_00070,TRA_SEC_13_3,SEC_13,Sleeper_Fastening_Defect,Track,1,1,2024-02-27 00:00:00,2024-03-02 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-28),7.56,0
DEF_00071,SIG_SEC_10_4,SEC_10,Point_Machine_Wear,Signal,2,2,2024-02-27 00:00:00,2024-02-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-28),1.96,0
DEF_00072,SIG_SEC_14_2,SEC_14,Track_Circuit_Glitch,Signal,1,1,2024-02-29 00:00:00,2024-03-02 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-30),14.38,0
DEF_00073,SIG_SEC_01_1,SEC_01,Track_Circuit_Glitch,Signal,1,1,2024-03-01 00:00:00,2024-03-05 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-31),2.5,0
DEF_00074,SIG_SEC_04_2,SEC_04,Point_Machine_Wear,Signal,1,1,2024-03-01 00:00:00,2024-03-05 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-31),16.65,0
DEF_00075,TRA_SEC_17_1,SEC_17,Sleeper_Fastening_Defect,Track,2,2,2024-03-01 00:00:00,2024-03-04 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-03-31),5.1,0
DEF_00076,SIG_SEC_12_2,SEC_12,Point_Machine_Wear,Signal,1,1,2024-03-02 00:00:00,2024-03-05 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-01),5.43,0
DEF_00077,SIG_SEC_12_1,SEC_12,Signal_Interlocking_Failure,Signal,2,2,2024-03-02 00:00:00,2024-03-06 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-01),9.4,0
DEF_00078,TRA_SEC_03_1,SEC_03,Sleeper_Fastening_Defect,Track,1,1,2024-03-02 00:00:00,2024-03-05 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-01),5.46,0
DEF_00079,OHE_SEC_13_1,SEC_13,OHE_Stagger_Deviation,OHE,1,1,2024-03-02 00:00:00,2024-03-03 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-01),3.63,0
DEF_00080,TRA_SEC_06_1,SEC_06,Rail_Weld_Flaw,Track,1,1,2024-03-02 00:00:00,2024-03-08 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-01),4.83,0
DEF_00081,TRA_SEC_09_1,SEC_09,Sleeper_Fastening_Defect,Track,1,4,2024-03-04 00:00:00,2024-03-08 00:00:00,RESOLVED,1,2024-04-01 00:00:00,Escalated to Grade 4 on 2024-04-01 (+28 days),7.77,0
DEF_00082,TRA_SEC_06_1,SEC_06,Sleeper_Fastening_Defect,Track,1,1,2024-03-05 00:00:00,2024-03-07 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-04),7.42,0
DEF_00083,SIG_SEC_17_1,SEC_17,Track_Circuit_Glitch,Signal,1,1,2024-03-06 00:00:00,2024-03-14 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-05),4.61,0
DEF_00084,OHE_SEC_14_1,SEC_14,Contact_Wire_Thinning,OHE,2,2,2024-03-07 00:00:00,2024-03-10 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-06),7.87,0
DEF_00085,TRA_SEC_04_2,SEC_04,Rail_Weld_Flaw,Track,1,1,2024-03-08 00:00:00,2024-03-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-07),9.22,0
DEF_00086,TRA_SEC_03_2,SEC_03,Sleeper_Fastening_Defect,Track,2,2,2024-03-08 00:00:00,2024-03-09 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-07),5.65,0
DEF_00087,SIG_SEC_07_3,SEC_07,Track_Circuit_Glitch,Signal,3,3,2024-03-08 00:00:00,2024-03-11 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-07),5.7,0
DEF_00088,TRA_SEC_13_1,SEC_13,Rail_Weld_Flaw,Track,1,1,2024-03-09 00:00:00,2024-03-12 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-08),5.2,0
DEF_00089,OHE_SEC_14_2,SEC_14,Contact_Wire_Thinning,OHE,1,1,2024-03-10 00:00:00,2024-03-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-09),3.52,0
DEF_00090,SIG_SEC_06_3,SEC_06,Track_Circuit_Glitch,Signal,1,1,2024-03-10 00:00:00,2024-03-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-09),3.31,0
DEF_00091,TRA_SEC_07_3,SEC_07,Sleeper_Fastening_Defect,Track,1,1,2024-03-11 00:00:00,2024-03-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-10),3.19,0
DEF_00092,OHE_SEC_11_2,SEC_11,Cantilever_Assembly_Wear,OHE,1,1,2024-03-11 00:00:00,2024-03-23 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-10),3.32,0
DEF_00093,SIG_SEC_03_4,SEC_03,Signal_Interlocking_Failure,Signal,1,1,2024-03-12 00:00:00,2024-03-13 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-11),4.58,0
DEF_00094,OHE_SEC_08_2,SEC_08,Contact_Wire_Thinning,OHE,1,1,2024-03-13 00:00:00,2024-03-14 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-12),1.25,0
DEF_00095,SIG_SEC_08_1,SEC_08,Track_Circuit_Glitch,Signal,1,1,2024-03-14 00:00:00,2024-03-16 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-13),13.62,0
DEF_00096,SIG_SEC_04_4,SEC_04,Track_Circuit_Glitch,Signal,1,1,2024-03-14 00:00:00,2024-03-19 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-13),6.13,0
DEF_00097,TRA_SEC_13_3,SEC_13,Sleeper_Fastening_Defect,Track,4,4,2024-03-15 00:00:00,2024-03-16 00:00:00,RESOLVED,0,,Pre-existing Grade 4 critical defect at observation date,8.6,0
DEF_00098,SIG_SEC_11_2,SEC_11,Signal_Interlocking_Failure,Signal,1,4,2024-03-16 00:00:00,2024-03-25 00:00:00,RESOLVED,1,2024-03-20 00:00:00,Escalated to Grade 4 on 2024-03-20 (+4 days),2.68,0
DEF_00099,SIG_SEC_02_3,SEC_02,Track_Circuit_Glitch,Signal,1,1,2024-03-17 00:00:00,2024-04-01 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-16),2.06,0
DEF_00100,OHE_SEC_14_2,SEC_14,Cantilever_Assembly_Wear,OHE,1,1,2024-03-18 00:00:00,2024-03-27 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-17),9.8,0
DEF_00101,SIG_SEC_12_3,SEC_12,Point_Machine_Wear,Signal,1,1,2024-03-18 00:00:00,2024-03-19 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-17),4.77,0
DEF_00102,TRA_SEC_16_3,SEC_16,Track_Geometry_Rail_Wear,Track,1,1,2024-03-18 00:00:00,2024-03-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-17),4.55,0
DEF_00103,SIG_SEC_02_4,SEC_02,Track_Circuit_Glitch,Signal,1,1,2024-03-19 00:00:00,2024-03-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-18),5.65,0
DEF_00104,OHE_SEC_04_2,SEC_04,Cantilever_Assembly_Wear,OHE,1,1,2024-03-19 00:00:00,2024-03-20 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-18),3.83,0
DEF_00105,SIG_SEC_03_1,SEC_03,Signal_Interlocking_Failure,Signal,1,1,2024-03-20 00:00:00,2024-03-23 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-19),3.64,0
DEF_00106,TRA_SEC_15_2,SEC_15,Track_Geometry_Rail_Wear,Track,1,1,2024-03-21 00:00:00,2024-03-27 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-20),7.41,0
DEF_00107,SIG_SEC_03_2,SEC_03,Track_Circuit_Glitch,Signal,2,2,2024-03-21 00:00:00,2024-03-22 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-20),4.74,0
DEF_00108,TRA_SEC_08_3,SEC_08,Sleeper_Fastening_Defect,Track,1,1,2024-03-22 00:00:00,2024-03-23 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-21),5.79,0
DEF_00109,TRA_SEC_03_3,SEC_03,Track_Geometry_Rail_Wear,Track,4,4,2024-03-22 00:00:00,2024-03-29 00:00:00,RESOLVED,0,,Pre-existing Grade 4 critical defect at observation date,7.22,0
DEF_00110,SIG_SEC_14_1,SEC_14,Signal_Interlocking_Failure,Signal,1,1,2024-03-23 00:00:00,2024-03-24 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-22),2.63,0
DEF_00111,TRA_SEC_14_2,SEC_14,Track_Geometry_Rail_Wear,Track,2,2,2024-03-26 00:00:00,2024-04-02 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-25),4.09,0
DEF_00112,SIG_SEC_16_1,SEC_16,Point_Machine_Wear,Signal,2,2,2024-03-26 00:00:00,2024-03-27 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-25),4.92,0
DEF_00113,SIG_SEC_08_3,SEC_08,Point_Machine_Wear,Signal,2,2,2024-03-26 00:00:00,2024-03-27 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-25),8.25,0
DEF_00114,TRA_SEC_06_3,SEC_06,Rail_Weld_Flaw,Track,1,1,2024-03-27 00:00:00,2024-03-28 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-26),11.96,0
DEF_00115,SIG_SEC_01_4,SEC_01,Signal_Interlocking_Failure,Signal,4,4,2024-03-27 00:00:00,2024-03-29 00:00:00,RESOLVED,0,,Pre-existing Grade 4 critical defect at observation date,7.4,0
DEF_00116,OHE_SEC_08_1,SEC_08,OHE_Stagger_Deviation,OHE,1,1,2024-03-28 00:00:00,2024-04-10 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-27),2.97,0
DEF_00117,SIG_SEC_17_4,SEC_17,Point_Machine_Wear,Signal,1,1,2024-03-29 00:00:00,2024-04-03 00:00:00,RESOLVED,0,,No escalation to Grade 4 within 30 days (monitored through 2024-04-28),3.89,0
